"Справка Т9","","","","","","","","","","","","","","","","","","","","","","","",""
"За ПТП (с пострадали), загинали и ранени","","","","","","","","","","","","","","","","","","","","","","","",""
"по 'Часови интервали' и 'Дни от седмицата'","","","","","","","","","","","","","","","","","","","","","","","",""
"за страната","","","","","","","","","","","","","","","","","","","","","","","",""
"За периода от  01-01-2019  до  30-06-2019","","","","","","","","","","","","","","","","","","","","","","","",""
"Часови интервали","Дни от седмицата","","","","","","","","","","","","","","","","","","","","","Общо","",""
"","понеделник","","","вторник","","","сряда","","","четвъртък","","","петък","","","събота","","","неделя","","","","",""
"","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени","ПТП","Загинали","Ранени"
"От 00 До 00:59","6","2","7","5","0","5","4","0","11","3","0","6","5","0","6","9","1","15","5","1","5","37","4","55"
"От 01 До 01:59","4","3","3","5","1","7","8","1","10","4","0","8","5","0","10","7","1","6","5","0","6","38","6","50"
"От 02 До 02:59","3","1","3","1","1","0","2","0","4","3","0","7","3","0","4","3","0","3","7","2","9","22","4","30"
"От 03 До 03:59","2","1","1","0","0","0","1","0","1","1","1","0","3","1","2","5","0","10","5","1","6","17","4","20"
"От 04 До 04:59","2","1","2","3","1","5","2","0","3","5","1","6","5","0","9","4","0","5","6","0","11","27","3","41"
"От 05 До 05:59","5","0","6","3","0","3","2","1","4","2","0","2","7","0","9","3","2","5","5","0","6","27","3","35"
"От 06 До 06:59","4","1","3","5","0","5","5","0","6","13","3","16","9","0","10","11","1","11","6","1","6","53","6","57"
"От 07 До 07:59","22","3","27","16","1","19","16","0","19","15","0","18","32","2","37","12","1","12","5","0","7","118","7","139"
"От 08 До 08:59","25","0","28","29","2","44","11","0","13","21","0","36","23","1","25","19","2","25","11","1","22","139","6","193"
"От 09 До 09:59","21","1","28","26","0","35","23","1","24","26","3","30","21","2","20","15","3","17","12","1","14","144","11","168"
"От 10 До 10:59","20","4","19","25","0","29","29","3","33","21","3","22","28","2","32","28","1","32","17","1","19","168","14","186"
"От 11 До 11:59","21","1","27","25","5","32","27","1","34","21","1","23","35","1","43","18","0","25","21","4","28","168","13","212"
"От 12 До 12:59","30","2","33","29","0","39","22","2","27","34","4","35","32","2","37","19","5","20","22","2","31","188","17","222"
"От 13 До 13:59","22","2","27","32","0","38","33","3","45","27","2","33","36","5","45","28","1","32","32","2","57","210","15","277"
"От 14 До 14:59","29","6","38","22","0","25","22","1","31","33","4","38","28","0","40","29","0","49","25","2","34","188","13","255"
"От 15 До 15:59","19","0","27","22","0","24","25","0","32","29","3","39","38","3","46","23","0","33","22","0","40","178","6","241"
"От 16 До 16:59","19","4","20","28","0","34","32","1","34","27","1","33","36","4","45","19","0","28","30","3","39","191","13","233"
"От 17 До 17:59","28","0","34","32","1","37","30","3","35","34","2","41","30","3","37","34","4","46","29","4","42","217","17","272"
"От 18 До 18:59","25","2","34","21","1","25","33","2","41","36","1","51","37","1","46","34","3","50","22","3","32","208","13","279"
"От 19 До 19:59","21","6","22","29","2","45","34","1","41","29","0","30","26","4","27","25","2","30","16","2","20","180","17","215"
"От 20 До 20:59","16","0","21","18","0","21","26","2","29","13","5","11","15","2","17","21","6","19","17","0","25","126","15","143"
"От 21 До 21:59","17","2","27","12","1","19","20","6","24","16","1","18","14","1","16","20","2","32","9","5","10","108","18","146"
"От 22 До 22:59","9","2","10","9","2","10","17","4","17","10","2","8","11","0","16","14","4","20","12","3","14","82","17","95"
"От 23 До 23:59","3","1","2","10","2","18","9","1","8","7","0","12","14","4","18","13","2","20","6","2","11","62","12","89"
"Общо","373","45","449","407","20","519","433","33","526","430","37","523","493","38","597","413","41","545","347","40","494","2896","254","3653"
