"","януари","февруари","март","април","май","юни",""
"БЛАГОЕВГРАД","23","21","16","21","22","34","137"
"БУРГАС","23","19","35","26","31","45","179"
"ВАРНА","49","41","53","51","63","74","331"
"ВЕЛИКО ТЪРНОВО","15","12","9","13","18","23","90"
"ВИДИН","7","5","3","4","8","10","37"
"ВРАЦА","16","8","11","11","12","8","66"
"ГАБРОВО","6","7","6","7","5","7","38"
"ДОБРИЧ","9","6","7","10","10","12","54"
"КЪРДЖАЛИ","7","11","8","8","6","11","51"
"КЮСТЕНДИЛ","7","5","4","5","8","7","36"
"ЛОВЕЧ","12","15","13","14","16","20","90"
"МОНТАНА","17","9","10","12","17","13","78"
"ПАЗАРДЖИК","19","13","24","15","14","16","101"
"ПЕРНИК","5","3","7","4","6","4","29"
"ПЛЕВЕН","10","11","16","17","15","18","87"
"ПЛОВДИВ","61","36","64","54","72","84","371"
"РАЗГРАД","7","5","9","7","5","4","37"
"РУСЕ","17","20","19","26","25","31","138"
"СИЛИСТРА","9","4","7","3","3","12","38"
"СЛИВЕН","8","3","8","4","12","13","48"
"СМОЛЯН","6","3","5","4","4","7","29"
"СОФИЙСКА","10","14","15","13","11","20","83"
"СОФИЯ","60","48","74","58","65","65","370"
"СТАРА ЗАГОРА","18","20","20","24","35","36","153"
"ТЪРГОВИЩЕ","2","4","3","2","5","3","19"
"ХАСКОВО","15","12","14","19","28","18","106"
"ШУМЕН","10","7","10","6","9","23","65"
"ЯМБОЛ","13","3","4","6","2","7","35"
"Общо","461","365","474","444","527","625","2896"
